name,cntry,dweight,pspwght,pweight,anweight,trstprl,trstlgl
ESS11e03,AT,1.1851145,0.39289063,0.33091453,0.13001321,6,9
ESS11e03,AT,0.6098981,0.32515332,0.33091453,0.107597955,6,6
ESS11e03,AT,1.3923296,4.0000234,0.33091453,1.3236659,7,5
ESS11e03,AT,0.5560615,0.17622764,0.33091453,0.058316287,5,6
ESS11e03,AT,0.7227953,1.0609399,0.33091453,0.35108042,6,8
ESS11e03,AT,0.9926053,1.3928125,0.33091453,0.4609019,3,5
ESS11e03,AT,0.5403178,0.5771863,0.33091453,0.19099933,6,5
ESS11e03,AT,0.81462234,0.6194855,0.33091453,0.20499675,9,9
ESS11e03,AT,1.3649563,0.69363487,0.33091453,0.22953385,6,7
ESS11e03,AT,0.872949,0.49226722,0.33091453,0.16289838,8,8
ESS11e03,AT,0.6989865,0.35520682,0.33091453,0.117543094,6,8
ESS11e03,AT,0.8320375,0.31393012,0.33091453,0.10388404,6,9
ESS11e03,AT,0.87345386,0.27681613,0.33091453,0.09160248,6,4
ESS11e03,AT,0.9025512,0.50895995,0.33091453,0.16842224,3,5
ESS11e03,AT,0.58181804,4.0006237,0.33091453,1.3238645,7,9
ESS11e03,AT,0.69352174,0.4163573,0.33091453,0.13777868,2,6
ESS11e03,AT,2.3245115,0.87704426,0.33091453,0.2902267,7,9
ESS11e03,AT,0.9926053,1.3928125,0.33091453,0.4609019,2,4
ESS11e03,AT,1.0702981,1.6595315,0.33091453,0.5491631,4,5
ESS11e03,AT,0.5560615,1.2854693,0.33091453,0.42538047,5,7
ESS11e03,AT,0.48294935,0.67766964,0.33091453,0.22425073,7,7
ESS11e03,AT,0.9926053,1.4569765,0.33091453,0.4821347,4,4
ESS11e03,AT,0.7366085,1.142137,0.33091453,0.37794974,4,5
ESS11e03,AT,1.9501987,3.2578714,0.33091453,1.078077,3,2
ESS11e03,AT,1.9560468,0.99401224,0.33091453,0.3289331,5,5
ESS11e03,AT,0.6098981,0.19328976,0.33091453,0.063962385,0,5
ESS11e03,AT,1.4462273,1.7788271,0.33091453,0.58863974,5,7
ESS11e03,AT,1.298475,0.3483306,0.33091453,0.11526765,2,6
ESS11e03,AT,1.329427,0.35663366,0.33091453,0.11801526,5,8
ESS11e03,AT,0.4598905,0.5081531,0.33091453,0.16815524,2,4
ESS11e03,AT,1.4547197,1.7278345,0.33091453,0.57176554,0,6
ESS11e03,AT,0.6670056,0.9119782,0.33091453,0.30178684,5,9
ESS11e03,AT,0.9669464,1.0329264,0.33091453,0.34181038,8,7
ESS11e03,AT,0.7417395,0.4453051,0.33091453,0.14735793,5,6
ESS11e03,AT,0.7803352,0.46847582,0.33091453,0.15502545,4,8
ESS11e03,AT,1.2012872,1.4268237,0.33091453,0.4721567,8,8
ESS11e03,AT,1.5597948,0.7926474,0.33091453,0.26229855,8,9
ESS11e03,AT,1.4378188,3.5898962,0.33091453,1.1879488,5,5
ESS11e03,AT,0.9332868,0.77514386,0.33091453,0.25650635,7,6
ESS11e03,AT,0.82740283,0.27430138,0.33091453,0.09077031,4,6
ESS11e03,AT,0.41601875,0.11160175,0.33091453,0.03693064,0,8
ESS11e03,AT,0.6494272,0.91126996,0.33091453,0.30155247,3,88
ESS11e03,AT,1.073635,1.0842805,0.33091453,0.35880417,2,3
ESS11e03,AT,0.9099707,0.9189945,0.33091453,0.30410862,9,10
ESS11e03,AT,0.68042654,1.0241293,0.33091453,0.33889925,8,8
ESS11e03,AT,0.55606145,0.18434645,0.33091453,0.061002918,5,6
ESS11e03,AT,0.4991056,0.6138887,0.33091453,0.20314468,5,5
ESS11e03,AT,1.159529,0.9490918,0.33091453,0.31406826,4,7
ESS11e03,AT,0.7417395,0.46581924,0.33091453,0.15414636,6,7
ESS11e03,AT,1.021017,4.0006237,0.33091453,1.3238645,4,4
ESS11e03,AT,2.319058,1.8425984,0.33091453,0.6097426,8,10
ESS11e03,AT,0.80748725,1.1852566,0.33091453,0.39221862,7,10
ESS11e03,AT,1.6209532,2.5107074,0.33091453,0.83082956,6,6
ESS11e03,AT,0.3912093,0.606582,0.33091453,0.20072679,3,5
ESS11e03,AT,0.9812141,0.3109674,0.33091453,0.10290363,77,5
ESS11e03,AT,0.4114013,0.21932949,0.33091453,0.07257932,5,5
ESS11e03,AT,0.5487113,0.58615285,0.33091453,0.1939665,9,10
ESS11e03,AT,0.5079797,0.5426425,0.33091453,0.17956828,10,10
ESS11e03,AT,0.6465898,0.46214,0.33091453,0.15292884,7,8
ESS11e03,AT,1.483479,0.8906102,0.33091453,0.29471585,4,4
ESS11e03,AT,1.2219335,0.92922765,0.33091453,0.30749494,6,5
ESS11e03,AT,0.9658987,1.4177768,0.33091453,0.46916294,2,2
ESS11e03,AT,0.65483123,0.41123956,0.33091453,0.13608515,4,6
ESS11e03,AT,1.6681843,0.44750932,0.33091453,0.14808734,5,8
ESS11e03,AT,0.47378042,1.182916,0.33091453,0.39144412,7,9
ESS11e03,AT,0.41370142,0.26861483,0.33091453,0.08888855,9,10
ESS11e03,AT,1.6209534,1.1585503,0.33091453,0.3833811,5,7
ESS11e03,AT,2.2314548,1.4013754,0.33091453,0.4637355,5,8
ESS11e03,AT,1.2440618,3.5764275,0.33091453,1.1834918,8,7
ESS11e03,AT,1.3709402,0.8609633,0.33091453,0.28490525,7,5
ESS11e03,AT,1.073635,0.67425156,0.33091453,0.22311963,5,8
ESS11e03,AT,0.8656501,0.2743429,0.33091453,0.09078405,2,10
ESS11e03,AT,0.99821126,0.5992782,0.33091453,0.19830987,4,5
ESS11e03,AT,1.3078376,0.3508419,0.33091453,0.11609869,6,8
ESS11e03,AT,0.8146224,1.2261127,0.33091453,0.4057385,7,7
ESS11e03,AT,0.9982112,1.0663236,0.33091453,0.35286197,5,6
ESS11e03,AT,0.426831,0.34936726,0.33091453,0.115610704,7,8
ESS11e03,AT,1.3870435,0.8710762,0.33091453,0.2882518,4,6
ESS11e03,AT,1.6104527,1.626423,0.33091453,0.538207,3,3
ESS11e03,AT,0.340339,1.2333995,0.33091453,0.4081498,7,10
ESS11e03,AT,0.5560615,0.14916976,0.33091453,0.04936244,4,7
ESS11e03,AT,0.581818,1.8593128,0.33091453,0.6152736,6,8
ESS11e03,AT,2.165643,1.5478561,0.33091453,0.51220804,6,8
ESS11e03,AT,0.37437,0.12411147,0.33091453,0.04107029,6,10
ESS11e03,AT,0.4350144,0.3560655,0.33091453,0.11782725,3,3
ESS11e03,AT,2.495528,4.0006237,0.33091453,1.3238645,6,5
ESS11e03,AT,1.3608531,2.110044,0.33091453,0.6982442,7,10
ESS11e03,AT,0.53514904,0.82976574,0.33091453,0.27458155,4,6
ESS11e03,AT,1.2337465,1.8109323,0.33091453,0.5992638,3,5
ESS11e03,AT,0.6098981,0.20219404,0.33091453,0.06690894,8,9
ESS11e03,AT,0.8885217,1.3041997,0.33091453,0.43157864,7,8
ESS11e03,AT,0.5797645,0.23274033,0.33091453,0.07701716,4,6
ESS11e03,AT,0.7275956,0.5200374,0.33091453,0.17208794,4,7
ESS11e03,AT,0.47378042,1.182916,0.33091453,0.39144412,2,7
ESS11e03,AT,0.9658987,1.3553393,0.33091453,0.44850147,7,7
ESS11e03,AT,2.946434,3.5797398,0.33091453,1.184588,6,7
ESS11e03,AT,0.51291066,0.6308683,0.33091453,0.2087635,8,8
ESS11e03,AT,0.95292634,0.59844613,0.33091453,0.19803452,5,3
ESS11e03,AT,1.7134386,1.0286652,0.33091453,0.34040025,8,9
ESS11e03,AT,1.112123,0.91028905,0.33091453,0.30122787,0,7
ESS11e03,AT,1.2219335,3.3056185,0.33091453,1.0938772,9,9
ESS11e03,AT,0.7366085,0.46259668,0.33091453,0.15307996,0,0
ESS11e03,AT,0.46543378,0.2922965,0.33091453,0.09672516,4,3
ESS11e03,AT,1.6681843,0.44750932,0.33091453,0.14808734,3,7
ESS11e03,AT,0.7417395,1.116413,0.33091453,0.36943728,5,4
ESS11e03,AT,0.5797645,0.18373992,0.33091453,0.060802206,7,9
ESS11e03,AT,0.41946852,0.3332874,0.33091453,0.11028964,7,9
ESS11e03,AT,1.3340112,0.8377713,0.33091453,0.27723068,1,3
ESS11e03,AT,0.49469304,0.19858982,0.33091453,0.06571625,6,8
ESS11e03,AT,0.65483123,0.49797148,0.33091453,0.164786,4,8
ESS11e03,AT,0.74874,0.6122118,0.33091453,0.20258978,5,5
ESS11e03,AT,1.6681842,0.6294106,0.33091453,0.20828111,7,10
ESS11e03,AT,2.165643,1.360042,0.33091453,0.45005766,3,2
ESS11e03,AT,0.48294932,0.6776696,0.33091453,0.2242507,3,3
ESS11e03,AT,1.2197962,0.32722396,0.33091453,0.10828316,7,9
ESS11e03,AT,1.112123,0.3686929,0.33091453,0.122005835,5,8
ESS11e03,AT,0.71400285,0.42865354,0.33091453,0.14184768,5,6
ESS11e03,AT,0.88628477,0.29382217,0.33091453,0.097230025,3,6
ESS11e03,AT,1.021017,2.9352186,0.33091453,0.97130644,5,6
ESS11e03,AT,0.5023222,0.7373241,0.33091453,0.24399126,2,7
ESS11e03,AT,0.4820758,0.28941548,0.33091453,0.09577179,10,10
ESS11e03,AT,1.3078378,0.94396025,0.33091453,0.31237015,9,6
