name,cntry,trstprl,trstlgl,stfeco,Entity,CPI,PPS
ESS11e03,AT,6,9,6,Austria,67.0,-0.233
ESS11e03,AT,6,6,2,Austria,67.0,-0.233
ESS11e03,AT,7,5,6,Austria,67.0,-0.233
ESS11e03,AT,5,6,4,Austria,67.0,-0.233
ESS11e03,AT,6,8,6,Austria,67.0,-0.233
ESS11e03,AT,3,5,4,Austria,67.0,-0.233
ESS11e03,AT,6,5,6,Austria,67.0,-0.233
ESS11e03,AT,9,9,6,Austria,67.0,-0.233
ESS11e03,AT,6,7,6,Austria,67.0,-0.233
ESS11e03,AT,8,8,7,Austria,67.0,-0.233
ESS11e03,AT,6,8,6,Austria,67.0,-0.233
ESS11e03,AT,6,9,6,Austria,67.0,-0.233
ESS11e03,AT,6,4,9,Austria,67.0,-0.233
ESS11e03,AT,3,5,6,Austria,67.0,-0.233
ESS11e03,AT,7,9,6,Austria,67.0,-0.233
ESS11e03,AT,2,6,6,Austria,67.0,-0.233
ESS11e03,AT,7,9,2,Austria,67.0,-0.233
ESS11e03,AT,2,4,5,Austria,67.0,-0.233
ESS11e03,AT,4,5,4,Austria,67.0,-0.233
ESS11e03,AT,5,7,6,Austria,67.0,-0.233
ESS11e03,AT,7,7,8,Austria,67.0,-0.233
ESS11e03,AT,4,4,7,Austria,67.0,-0.233
ESS11e03,AT,4,5,3,Austria,67.0,-0.233
ESS11e03,AT,3,2,2,Austria,67.0,-0.233
ESS11e03,AT,5,5,6,Austria,67.0,-0.233
ESS11e03,AT,0,5,2,Austria,67.0,-0.233
ESS11e03,AT,5,7,6,Austria,67.0,-0.233
ESS11e03,AT,2,6,6,Austria,67.0,-0.233
ESS11e03,AT,5,8,7,Austria,67.0,-0.233
ESS11e03,AT,2,4,6,Austria,67.0,-0.233
ESS11e03,AT,0,6,7,Austria,67.0,-0.233
ESS11e03,AT,5,9,5,Austria,67.0,-0.233
ESS11e03,AT,8,7,8,Austria,67.0,-0.233
ESS11e03,AT,5,6,5,Austria,67.0,-0.233
ESS11e03,AT,4,8,5,Austria,67.0,-0.233
ESS11e03,AT,8,8,9,Austria,67.0,-0.233
ESS11e03,AT,8,9,9,Austria,67.0,-0.233
ESS11e03,AT,5,5,3,Austria,67.0,-0.233
ESS11e03,AT,7,6,4,Austria,67.0,-0.233
ESS11e03,AT,4,6,4,Austria,67.0,-0.233
ESS11e03,AT,0,8,4,Austria,67.0,-0.233
ESS11e03,AT,3,88,6,Austria,67.0,-0.233
ESS11e03,AT,2,3,3,Austria,67.0,-0.233
ESS11e03,AT,9,10,7,Austria,67.0,-0.233
ESS11e03,AT,8,8,6,Austria,67.0,-0.233
ESS11e03,AT,5,6,6,Austria,67.0,-0.233
ESS11e03,AT,5,5,4,Austria,67.0,-0.233
ESS11e03,AT,4,7,4,Austria,67.0,-0.233
ESS11e03,AT,6,7,5,Austria,67.0,-0.233
ESS11e03,AT,4,4,4,Austria,67.0,-0.233
ESS11e03,AT,8,10,7,Austria,67.0,-0.233
ESS11e03,AT,7,10,7,Austria,67.0,-0.233
ESS11e03,AT,6,6,10,Austria,67.0,-0.233
ESS11e03,AT,3,5,2,Austria,67.0,-0.233
ESS11e03,AT,77,5,5,Austria,67.0,-0.233
ESS11e03,AT,5,5,7,Austria,67.0,-0.233
ESS11e03,AT,9,10,8,Austria,67.0,-0.233
ESS11e03,AT,10,10,9,Austria,67.0,-0.233
ESS11e03,AT,7,8,6,Austria,67.0,-0.233
ESS11e03,AT,4,4,5,Austria,67.0,-0.233
ESS11e03,AT,6,5,2,Austria,67.0,-0.233
ESS11e03,AT,2,2,4,Austria,67.0,-0.233
ESS11e03,AT,4,6,5,Austria,67.0,-0.233
ESS11e03,AT,5,8,2,Austria,67.0,-0.233
ESS11e03,AT,7,9,6,Austria,67.0,-0.233
ESS11e03,AT,9,10,7,Austria,67.0,-0.233
ESS11e03,AT,5,7,6,Austria,67.0,-0.233
ESS11e03,AT,5,8,5,Austria,67.0,-0.233
ESS11e03,AT,8,7,6,Austria,67.0,-0.233
ESS11e03,AT,7,5,3,Austria,67.0,-0.233
ESS11e03,AT,5,8,4,Austria,67.0,-0.233
ESS11e03,AT,2,10,8,Austria,67.0,-0.233
ESS11e03,AT,4,5,3,Austria,67.0,-0.233
ESS11e03,AT,6,8,8,Austria,67.0,-0.233
ESS11e03,AT,7,7,5,Austria,67.0,-0.233
ESS11e03,AT,5,6,5,Austria,67.0,-0.233
ESS11e03,AT,7,8,4,Austria,67.0,-0.233
ESS11e03,AT,4,6,6,Austria,67.0,-0.233
ESS11e03,AT,3,3,5,Austria,67.0,-0.233
ESS11e03,AT,7,10,1,Austria,67.0,-0.233
ESS11e03,AT,4,7,3,Austria,67.0,-0.233
ESS11e03,AT,6,8,7,Austria,67.0,-0.233
ESS11e03,AT,6,8,6,Austria,67.0,-0.233
ESS11e03,AT,6,10,7,Austria,67.0,-0.233
ESS11e03,AT,3,3,5,Austria,67.0,-0.233
ESS11e03,AT,6,5,4,Austria,67.0,-0.233
ESS11e03,AT,7,10,8,Austria,67.0,-0.233
ESS11e03,AT,4,6,2,Austria,67.0,-0.233
ESS11e03,AT,3,5,8,Austria,67.0,-0.233
ESS11e03,AT,8,9,8,Austria,67.0,-0.233
ESS11e03,AT,7,8,7,Austria,67.0,-0.233
ESS11e03,AT,4,6,10,Austria,67.0,-0.233
ESS11e03,AT,4,7,6,Austria,67.0,-0.233
ESS11e03,AT,2,7,5,Austria,67.0,-0.233
ESS11e03,AT,7,7,4,Austria,67.0,-0.233
ESS11e03,AT,6,7,6,Austria,67.0,-0.233
ESS11e03,AT,8,8,4,Austria,67.0,-0.233
ESS11e03,AT,5,3,3,Austria,67.0,-0.233
ESS11e03,AT,8,9,4,Austria,67.0,-0.233
ESS11e03,AT,0,7,1,Austria,67.0,-0.233
ESS11e03,AT,9,9,4,Austria,67.0,-0.233
ESS11e03,AT,0,0,0,Austria,67.0,-0.233
ESS11e03,AT,4,3,4,Austria,67.0,-0.233
ESS11e03,AT,3,7,7,Austria,67.0,-0.233
ESS11e03,AT,5,4,8,Austria,67.0,-0.233
ESS11e03,AT,7,9,7,Austria,67.0,-0.233
ESS11e03,AT,7,9,7,Austria,67.0,-0.233
ESS11e03,AT,1,3,3,Austria,67.0,-0.233
ESS11e03,AT,6,8,6,Austria,67.0,-0.233
ESS11e03,AT,4,8,4,Austria,67.0,-0.233
ESS11e03,AT,5,5,5,Austria,67.0,-0.233
ESS11e03,AT,7,10,6,Austria,67.0,-0.233
ESS11e03,AT,3,2,7,Austria,67.0,-0.233
ESS11e03,AT,3,3,10,Austria,67.0,-0.233
ESS11e03,AT,7,9,9,Austria,67.0,-0.233
ESS11e03,AT,5,8,6,Austria,67.0,-0.233
